title,price,year,mileage,transmission,fuel,location,url
Toyota C-HR 2018,8000000,2018,377181,Automatic,Petrol,Karachi,https://www.pakwheels.com/used-cars/search/-/direct_1/
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,4000000,2019,90000,Automatic,Petrol,Lahore,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-lahore-10853066
Daihatsu Mira  2016 L for Sale,3000000,2016,115610,Automatic,Petrol,Lahore,https://www.pakwheels.com/used-cars/daihatsu-mira-2016-for-sale-in-karachi-10780879
DFSK Glory 580  2021 1.5 CVT for Sale,5900000,2021,71560,Automatic,Petrol,Karachi,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-karachi-10778364
Toyota Corolla  2020 Altis Automatic 1.6 for Sale,320000,2020,58000,Automatic,Petrol,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-10852974
Toyota Corolla  2005 Altis 1.8 for Sale,4000000,2005,117036,Manual,Petrol,Lahore,https://www.pakwheels.com/used-cars/toyota-corolla-2005-for-sale-in-karachi-10734728
Daihatsu Esse  2010  for Sale,1900000,2010,90181,Automatic,Petrol,Islamabad,https://www.pakwheels.com/used-cars/daihatsu-esse-2010-for-sale-in-islamabad-10682529
Toyota Passo  2015 X for Sale,2900000,2015,81649,Automatic,Petrol,Karachi,https://www.pakwheels.com/used-cars/toyota-passo-2015-for-sale-in-lahore-10847179
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,800000,2020,85000,Automatic,Petrol,Lahore,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-islamabad-10851477
Haval H6  2025 HEV for Sale,5670000,2025,231123,Automatic,Hybrid,Faisalabad,https://www.pakwheels.com/used-cars/haval-h6-2025-for-sale-in-lahore-10785567
Toyota Crown  1992 Royal Saloon G for Sale,1450000,1992,145000,Automatic,Diesel,Islamabad,https://www.pakwheels.com/used-cars/toyota-crown-1992-for-sale-in-lahore-10770296
